,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
117,0.40415837,0.119910441,0.003434483,6.57E-05,0.0001,"(30, 30, 30)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30, 30, 30), 'NN__learning_rate_init': 0.1}",0.68702623,0.682272154,0.717047257,0.720870135,0.68758857,0.676170787,0.703405313,0.696270744,0.681443237,0.57251229,0.641115421,0.659073869,0.663842987,0.676170787,0.707952638,0.678184161,0.035114479,21,0.792177187,0.774084049,0.873647255,0.786595121,0.822452942,0.769761332,0.77137,0.778967312,0.834877011,0.831699392,0.806710251,0.804424071,0.793605239,0.836872087,0.783379138,0.804041492,0.029137094,,0.125857331
98,1.057518625,0.278054664,0.003357347,0.000117655,0.0001,"(5, 5, 5)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5, 5), 'NN__learning_rate_init': 0.01}",0.651087669,0.739183107,0.670520231,0.705478257,0.624403415,0.664446982,0.658275473,0.662018033,0.722153875,0.636179023,0.659164675,0.641305395,0.710982659,0.721801093,0.705083542,0.678138895,0.03475519,22,0.806411296,0.779710145,0.805584947,0.776304962,0.766094174,0.795814044,0.780550736,0.767662244,0.785153893,0.766787049,0.786751095,0.779836015,0.774380427,0.791267048,0.776980676,0.78261925,0.012310827,,0.104480355
99,3.986552986,0.719618144,0.003369586,0.000156984,0.0001,"(5, 5, 5)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5, 5), 'NN__learning_rate_init': 0.001}",0.68493099,0.699522399,0.682399982,0.716857959,0.640659745,0.682399982,0.66500881,0.69302712,0.699663071,0.654945003,0.623746722,0.682378512,0.676603911,0.687861272,0.664942065,0.676996503,0.023190231,23,0.765074677,0.769654763,0.765422647,0.752234817,0.774118328,0.765430572,0.75347414,0.73845043,0.777018069,0.791265773,0.784141885,0.788590944,0.790048174,0.753826128,0.745099347,0.767590046,0.01614683,,0.090593543
147,5.086394294,1.43974133,0.003340944,6.90E-05,0.0001,"(5, 5, 5, 5)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5, 5, 5), 'NN__learning_rate_init': 0.001}",0.653527125,0.733997432,0.659164675,0.716516919,0.635521752,0.676495787,0.670520231,0.685978902,0.693375442,0.623951014,0.61849711,0.693949073,0.693887813,0.711156952,0.681952839,0.676566204,0.032443272,24,0.774110697,0.770972168,0.77650773,0.761615216,0.761040883,0.752395431,0.755050343,0.791673785,0.76827183,0.78256835,0.797063946,0.787039309,0.794202899,0.759642854,0.758144715,0.772686677,0.014429138,,0.096120473
5,0.262411372,0.097088233,0.003505135,0.001056966,0.0001,"(10,)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10,), 'NN__learning_rate_init': 0.1}",0.658040074,0.728596348,0.664942065,0.695831933,0.6476822,0.658822137,0.689181442,0.705379634,0.689181442,0.660338072,0.653527125,0.647610935,0.634595568,0.71699062,0.685978902,0.6757799,0.027033108,25,0.794268801,0.768026322,0.800175002,0.749203965,0.768190199,0.768326491,0.78176072,0.752301773,0.780698109,0.773159934,0.787066165,0.795779672,0.788565841,0.788590944,0.770162945,0.777751792,0.014748469,,0.101971892
9,0.336418883,0.117303724,0.00333635,9.28E-05,0.0001,"(15,)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15,), 'NN__learning_rate_init': 0.1}",0.649923322,0.710730157,0.693928385,0.722543353,0.68811165,0.74014544,0.682378512,0.653179191,0.682080925,0.578441293,0.652478637,0.663586155,0.688153771,0.670054817,0.653527125,0.675284182,0.036641627,26,0.816778149,0.83638237,0.817474158,0.776939121,0.855138395,0.801498069,0.787009044,0.8269237,0.788580302,0.78482716,0.833128033,0.813026527,0.791497381,0.807384469,0.800181598,0.809117898,0.021425949,,0.133833716
43,9.810037327,2.062159133,0.003313065,5.88E-05,0.0001,"(55,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (55,), 'NN__learning_rate_init': 0.001}",0.658477793,0.67085089,0.682399982,0.698387587,0.629909471,0.693208865,0.670520231,0.67085089,0.68233641,0.676300578,0.620283813,0.670630687,0.693744323,0.722710674,0.688049509,0.675244114,0.024710942,27,0.911649479,0.937663413,0.881249451,0.892851002,0.939171435,0.868148456,0.884159421,0.950732945,0.895699644,0.907168038,0.92033098,0.873991879,0.872521787,0.904402606,0.92612509,0.904391042,0.02537452,,0.229146928
13,0.316075071,0.074695396,0.003475968,0.000408864,0.0001,"(20,)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20,), 'NN__learning_rate_init': 0.1}",0.67085089,0.728087657,0.693887813,0.71699062,0.670387488,0.704407522,0.699663071,0.657508056,0.692596272,0.636179023,0.600080765,0.650363482,0.681443237,0.693744323,0.63040447,0.675106313,0.033836659,28,0.811768469,0.820093533,0.855118874,0.772682985,0.865051366,0.815763607,0.845069981,0.790521755,0.836316167,0.843549466,0.821904402,0.815293631,0.812153039,0.859545946,0.830569101,0.826360155,0.024579132,,0.151253842
44,0.190644789,0.048545772,0.003294245,0.000102862,0.0001,"(60,)",0.5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (60,), 'NN__learning_rate_init': 0.5}",0.710209472,0.722153875,0.688153771,0.682378512,0.69302712,0.682848517,0.613430327,0.740127874,0.640992953,0.663842987,0.629068124,0.656880656,0.658959538,0.664739884,0.676170787,0.674865626,0.032855616,29,0.816783023,0.795009788,0.801916105,0.754838686,0.805797101,0.74795298,0.737948941,0.775341951,0.752835478,0.790686531,0.776543972,0.800064046,0.759602547,0.799831945,0.811749392,0.781793499,0.024778946,,0.106927873
57,0.325576591,0.087984145,0.003415839,0.000148978,0.0001,"(15, 15)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15, 15), 'NN__learning_rate_init': 0.1}",0.652692343,0.712639446,0.66939599,0.75688464,0.733730797,0.675846187,0.608349652,0.687423109,0.680996131,0.611672627,0.65350419,0.616196436,0.702470596,0.711156952,0.630057803,0.67353446,0.043751774,30,0.827520655,0.770151325,0.826928678,0.77094919,0.821904402,0.792694857,0.799460409,0.830889817,0.832223929,0.843354091,0.809744717,0.798126074,0.809240683,0.817977751,0.799962882,0.810075297,0.020987964,,0.136540837
