,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
59,2.951511701,0.411436009,0.003282674,3.57E-05,0.0001,"(15, 15)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15, 15), 'NN__learning_rate_init': 0.001}",0.739884393,0.786255813,0.699522399,0.727591246,0.658663228,0.717047257,0.675846187,0.721373355,0.652251366,0.703126898,0.693641618,0.688174412,0.734317332,0.734370796,0.728323699,0.710692667,0.033414716,21,0.769499875,0.769585062,0.724262784,0.76827183,0.766498547,0.750892544,0.788601512,0.751728646,0.722921491,0.779891597,0.766017672,0.774065035,0.768026322,0.770764341,0.768073081,0.762606689,0.017677492,,
30,1.343187888,0.349141805,0.003297917,0.00011072,0.0001,"(40,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40,), 'NN__learning_rate_init': 0.01}",0.716933374,0.739971595,0.68758857,0.726667642,0.728087657,0.751694531,0.64709249,0.767811129,0.682399982,0.692082386,0.688049509,0.699723508,0.699421965,0.722300951,0.705478257,0.71035357,0.029488462,22,0.820256638,0.804106822,0.771118664,0.778436765,0.782608696,0.80882426,0.80882451,0.777644123,0.797254916,0.797237852,0.790042776,0.769544405,0.782773386,0.768306944,0.793922712,0.790060231,0.015453788,,
123,2.968757121,0.97620974,0.003470023,6.99E-05,0.0001,"(35, 35, 35)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (35, 35, 35), 'NN__learning_rate_init': 0.001}",0.734317332,0.757306553,0.734370796,0.745442538,0.687965568,0.7228217,0.639457258,0.733392714,0.688174412,0.653040129,0.693744323,0.68702623,0.704407522,0.744592242,0.71699062,0.709536662,0.033305789,23,0.792902098,0.791399037,0.790830614,0.771984126,0.79434125,0.796825209,0.797217383,0.805290876,0.817422092,0.824763536,0.797193509,0.82442289,0.77360343,0.778187383,0.815850756,0.798148946,0.016257708,,
82,0.97134517,0.334960066,0.00343051,5.00E-05,0.0001,"(45, 45)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45, 45), 'NN__learning_rate_init': 0.01}",0.734370796,0.769018083,0.71699062,0.728214244,0.701732121,0.705301141,0.686545024,0.7226195,0.704407522,0.629109383,0.680727849,0.705439216,0.715321451,0.742998322,0.680747964,0.708236216,0.031236703,24,0.798600231,0.791493942,0.843549278,0.776725335,0.800503615,0.773913043,0.794123361,0.813866355,0.76112292,0.760106631,0.814492754,0.790048105,0.813304647,0.782274681,0.771569783,0.792379645,0.022000871,,
143,3.198488363,1.004636328,0.003647884,4.24E-05,0.0001,"(60, 60, 60)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (60, 60, 60), 'NN__learning_rate_init': 0.001}",0.68758857,0.767391779,0.705301141,0.728596348,0.692082386,0.710576953,0.685978902,0.738996834,0.733730797,0.664942065,0.716933374,0.705478257,0.699603231,0.705083542,0.676408737,0.707912861,0.02550866,25,0.830476586,0.812523477,0.789986465,0.779135919,0.808621716,0.75139485,0.801150989,0.790042776,0.800589079,0.806635692,0.813059578,0.831997077,0.755248245,0.807399279,0.797023032,0.798352317,0.022245388,,
107,2.63919239,0.505657162,0.00339783,0.000157509,0.0001,"(15, 15, 15)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15, 15, 15), 'NN__learning_rate_init': 0.001}",0.745749722,0.75737184,0.67085089,0.745442538,0.68702623,0.728487114,0.659164675,0.728596348,0.705202312,0.680462854,0.705439216,0.630354549,0.722765911,0.728578001,0.7228217,0.707887593,0.034617736,26,0.768221153,0.761083159,0.743707389,0.776443916,0.772244367,0.77534203,0.787009044,0.765351543,0.760801758,0.78124446,0.775477929,0.762498902,0.759630613,0.769079466,0.775200465,0.76888908,0.010244393,,
34,1.273274501,0.404233126,0.003518963,0.000981265,0.0001,"(45,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45,), 'NN__learning_rate_init': 0.01}",0.740040854,0.751677746,0.728214244,0.715036477,0.651087669,0.733730797,0.691484816,0.762799871,0.709239724,0.668200651,0.697876786,0.682272154,0.716194884,0.662860297,0.70494618,0.707710877,0.031656596,27,0.787066165,0.775477929,0.775478215,0.742224418,0.735872772,0.77534203,0.776770341,0.76468444,0.731481262,0.811480225,0.813202759,0.765351543,0.777989274,0.767052335,0.815957879,0.774362106,0.025008887,,
110,1.04438893,0.446670781,0.003404824,6.84E-05,0.0001,"(20, 20, 20)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 20, 20), 'NN__learning_rate_init': 0.01}",0.726411063,0.773797256,0.682378512,0.738298806,0.682187505,0.728542023,0.68758857,0.728413094,0.629546963,0.72512568,0.733392714,0.681443237,0.699663071,0.682187505,0.716516919,0.707699528,0.033436006,28,0.790070118,0.782371209,0.745008974,0.762478626,0.800164943,0.781139655,0.735323431,0.761623616,0.747535001,0.784709594,0.784024557,0.769544405,0.778466452,0.775568737,0.76997365,0.771200198,0.017402399,,
78,1.145360708,0.329492072,0.003364579,5.92E-05,0.0001,"(40, 40)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40, 40), 'NN__learning_rate_init': 0.01}",0.705202312,0.762530413,0.710982659,0.751594593,0.71107923,0.728414777,0.674348491,0.697933739,0.670520231,0.676625317,0.68702623,0.673995339,0.710398864,0.728087657,0.725806236,0.707636406,0.027398837,29,0.824210462,0.787066165,0.831960538,0.778890934,0.798629007,0.816106548,0.874013062,0.808747412,0.837503836,0.801149188,0.837503836,0.771826169,0.795218504,0.815493625,0.83388372,0.814146867,0.025888769,,
66,0.943483003,0.246899655,0.00332667,5.32E-05,0.0001,"(25, 25)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'NN__learning_rate_init': 0.01}",0.757420172,0.733997432,0.74014544,0.734104046,0.705202312,0.710398864,0.681843987,0.711156952,0.663326137,0.674242268,0.705202312,0.687230773,0.686256662,0.710982659,0.711214491,0.707514967,0.025303037,30,0.780948404,0.777793448,0.782568514,0.772054956,0.789873169,0.781333016,0.802451135,0.785604824,0.820392539,0.813304647,0.795285024,0.800820225,0.795454083,0.792902361,0.799781513,0.792704524,0.012893455,,
79,3.774999428,0.879028743,0.003409481,5.77E-05,0.0001,"(40, 40)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40, 40), 'NN__learning_rate_init': 0.001}",0.699159364,0.757306553,0.734192891,0.733871745,0.699663071,0.740127874,0.635107708,0.720290786,0.693825894,0.659278768,0.705379634,0.699663071,0.705439216,0.70949691,0.717047257,0.707323383,0.029626093,31,0.816088033,0.77354059,0.807293746,0.7854676,0.79291779,0.79873577,0.788601512,0.770567921,0.797268783,0.797193753,0.788117718,0.779710145,0.777006714,0.808805212,0.803047633,0.792290861,0.013072856,,
