,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
71,1.086556482,0.258419578,0.003715229,7.14E-05,0.0001,"(30, 30)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30, 30), 'NN__learning_rate_init': 0.001}",0.606936416,0.635863113,0.643248223,0.629310546,0.609990239,0.638705061,0.596461105,0.576099008,0.622365191,0.61638867,0.627826847,0.618344142,0.639457258,0.641305395,0.641115421,0.622894442,0.018648055,21,0.645244915,0.643385715,0.619904939,0.641156893,0.661023436,0.624234896,0.642422824,0.639104094,0.631645327,0.651700358,0.653504611,0.647083711,0.625762255,0.627853222,0.645111922,0.639942608,0.01142194,,0.017048166
95,0.837341611,0.260650816,0.003835646,8.20E-05,0.0001,"(60, 60)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (60, 60), 'NN__learning_rate_init': 0.001}",0.59455841,0.636913111,0.647609464,0.624629151,0.586154768,0.625416866,0.609803067,0.604566025,0.630354549,0.615304883,0.662018033,0.629909471,0.604137198,0.617961578,0.653040129,0.622825113,0.020744083,22,0.665502313,0.654057975,0.60767893,0.62883124,0.656699082,0.628831209,0.62919833,0.651793935,0.636858704,0.64948953,0.649002488,0.652122554,0.636560362,0.646718997,0.638482064,0.642121847,0.014133714,,0.019296734
135,1.145676724,0.280178169,0.00391256,0.000242992,0.0001,"(50, 50, 50)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50, 50), 'NN__learning_rate_init': 0.001}",0.589842236,0.624391719,0.664269265,0.624403415,0.611395287,0.620408095,0.602815588,0.61237041,0.610745658,0.618695942,0.636913111,0.618803128,0.6476822,0.61302799,0.641640115,0.622493611,0.018074704,23,0.64729701,0.595326065,0.660310885,0.649769551,0.669815547,0.610891599,0.658908631,0.657777425,0.66023968,0.654057975,0.636752825,0.667795924,0.65600261,0.642360873,0.635339365,0.646843064,0.019896761,,0.024349454
134,0.654514265,0.244217489,0.004258092,0.001094896,0.0001,"(50, 50, 50)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50, 50), 'NN__learning_rate_init': 0.01}",0.602815588,0.671102166,0.65779585,0.613105432,0.609128038,0.618624583,0.623523826,0.618879837,0.638705061,0.564628885,0.635863113,0.624579393,0.611939944,0.644131497,0.601885365,0.622447239,0.02461789,24,0.651459188,0.657597369,0.619410114,0.643746645,0.656005725,0.611855316,0.635028133,0.634177213,0.626820797,0.644088086,0.621276115,0.672612378,0.617642371,0.675912677,0.615189198,0.638854755,0.019959848,,0.016407516
11,1.159883785,0.246746697,0.003908141,0.00111329,0.0001,"(15,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15,), 'NN__learning_rate_init': 0.001}",0.593669476,0.640659745,0.675434608,0.652478637,0.625200631,0.60177567,0.614497483,0.588772179,0.613105432,0.605888124,0.6414748,0.588772179,0.606384656,0.624579393,0.660338072,0.622202072,0.025892601,25,0.654572439,0.653708311,0.603072158,0.642782965,0.62357386,0.622840036,0.621059513,0.650693092,0.653289196,0.614436889,0.641156893,0.642380607,0.622206177,0.636052321,0.614265727,0.633072679,0.0161674,,0.010870606
115,0.994040823,0.349511388,0.003776598,7.81E-05,0.0001,"(25, 25, 25)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25, 25), 'NN__learning_rate_init': 0.001}",0.601395975,0.646493319,0.661225061,0.635323745,0.626859325,0.641978029,0.566638229,0.593669476,0.588488903,0.619854664,0.635107708,0.601556341,0.6295385,0.624277457,0.658959538,0.622091085,0.026046247,26,0.671924188,0.653055114,0.631365993,0.649586864,0.646785761,0.637613917,0.659896659,0.660099747,0.630251517,0.658908631,0.625470976,0.676652062,0.638277753,0.656424343,0.656958482,0.650218134,0.014626135,,0.028127049
75,0.988547722,0.277246913,0.003821389,0.000308918,0.0001,"(35, 35)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (35, 35), 'NN__learning_rate_init': 0.001}",0.606384656,0.634595568,0.664942065,0.634288264,0.601529406,0.653994435,0.596461105,0.635521752,0.607067753,0.597460218,0.623264489,0.618624583,0.641834621,0.617961578,0.597041681,0.622064812,0.020890209,27,0.655441984,0.638251281,0.626394947,0.639416291,0.643177145,0.635709913,0.668336401,0.661063339,0.662152155,0.659664287,0.635212537,0.661441954,0.645065906,0.632962195,0.623521127,0.645854097,0.01389205,,0.023789286
47,0.76929601,0.149753558,0.004781405,0.004012556,0.0001,"(60,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (60,), 'NN__learning_rate_init': 0.001}",0.616888363,0.638708932,0.659164675,0.60099538,0.631551444,0.627054381,0.591261438,0.579451799,0.624503455,0.620217844,0.653040129,0.61302799,0.630354549,0.587848678,0.656558569,0.622041842,0.023781673,28,0.627382844,0.639461265,0.627878487,0.625422434,0.640015423,0.631422851,0.639390257,0.646311449,0.626628832,0.651818425,0.637376713,0.652460416,0.646240141,0.642117238,0.630507474,0.63762895,0.008803416,,0.015587108
167,1.229683288,0.304860585,0.003880676,6.46E-05,0.0001,"(30, 30, 30, 30)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30, 30, 30, 30), 'NN__learning_rate_init': 0.001}",0.582701639,0.658663228,0.658275473,0.618141106,0.630280899,0.632463678,0.52465406,0.63040447,0.618695942,0.605092248,0.653527125,0.632845209,0.622995427,0.611142651,0.647610935,0.621832939,0.032789251,29,0.655311736,0.656655591,0.635465068,0.637080568,0.670207314,0.635088346,0.624570767,0.656551423,0.620508841,0.637013474,0.653941472,0.687522261,0.635538399,0.642891799,0.640640105,0.645932478,0.016993885,,0.024099538
103,1.597454707,0.613286623,0.003746891,0.000313507,0.0001,"(10, 10, 10)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10, 10, 10), 'NN__learning_rate_init': 0.001}",0.617476503,0.649543166,0.66505405,0.622678367,0.600624059,0.622365191,0.623523826,0.59006319,0.595375723,0.608157885,0.659278768,0.595349424,0.612560731,0.607330742,0.653040129,0.621494784,0.023631772,30,0.64857409,0.638624233,0.646697898,0.614557532,0.630210804,0.640324035,0.631945914,0.658525313,0.616298102,0.654695652,0.617745262,0.635052612,0.651260628,0.624980035,0.605147695,0.63430932,0.015599993,,0.012814537
